day,traj,well,blancas,mCherry,leuB GPF,metA,pct_F,pct_L,pct_M,TOTAL,dilucion,vol inoculado (20ul),total_CFU
5,DDDDB,P2C9,375,39,0,375,9.420289855,0,90.57971014,414,1.00E+04,20,"82,800,000"
5,BDDDC,P2D1,472,1,13,459,0.2114164905,2.748414376,97.04016913,473,1.00E+04,20,"94,600,000"
5,DDDCC,P2D5,150,0,0,150,0,0,100,150,1.00E+04,20,"30,000,000"
5,DDDDC,P2D9,1051,0,0,1051,0,0,100,1051,1.00E+04,20,"210,200,000"
5,BDDDD,P2E1,505,437,0,505,46.39065817,0,53.60934183,942,1.00E+04,20,"188,400,000"
5,DDDCD,P2E5,754,0,0,754,0,0,100,754,1.00E+04,20,"150,800,000"
5,DDDDD,P2E9,1475,20,0,1475,1.337792642,0,98.66220736,1495,1.00E+04,20,"299,000,000"
5,BDBBB,P2F1,478,634,329,149,57.01438849,29.58633094,13.39928058,1112,1.00E+04,20,"222,400,000"
5,BDBCB,P2F5,1935,100,1388,547,4.914004914,68.20638821,26.87960688,2035,1.00E+04,20,"407,000,000"
5,BDBDB,P2F9,669,320,166,503,32.35591507,16.78463094,50.85945399,989,1.00E+04,20,"197,800,000"
5,BDBBC,P2G1,1222,4,632,590,0.3262642741,51.5497553,48.12398042,1226,1.00E+04,20,"245,200,000"
5,BDBCC,P2G5,1603,0,822,781,0,51.27885215,48.72114785,1603,1.00E+04,20,"320,600,000"
5,BDBDC,P2G9,795,0,94,701,0,11.82389937,88.17610063,795,1.00E+04,20,"159,000,000"
5,BDBBD,P2H1,928,15,7,921,1.590668081,0.7423117709,97.66702015,943,1.00E+04,20,"188,600,000"
5,BDBCD,P2H5,615,1,9,606,0.1623376623,1.461038961,98.37662338,616,1.00E+04,20,"123,200,000"
5,BDBDD,P2H9,702,99,0,702,12.35955056,0,87.64044944,801,1.00E+04,20,"160,200,000"
