day,traj,well_inoculation,well_OD,time,replica,medio_anterior,media,OD,ODblank
5,DDDDD,P2-B10,E10,120,2,FM,FM,0.366,0.277
5,DDDDD,P2-B11,E11,120,3,FM,FM,0.374,0.285
5,DDDDD,P2-B12,E12,120,4,FM,FM,0.319,0.23
5,BDBBB,P2-F1,F1,120,1,LF,LF,0.363,0.274
5,BDBBB,P2-F2,F2,120,2,LF,LF,0.343,0.254
5,BDBBB,P2-F3,F3,120,3,LF,LF,0.385,0.296
5,BDBBB,P2-F4,F4,120,4,LF,LF,0.411,0.322
5,BDBCB,P2-G1,F5,120,1,LM,LF,0.287,0.198
5,BDBCB,P2-G2,F6,120,2,LM,LF,0.349,0.26
5,BDBCB,P2-G3,F7,120,3,LM,LF,0.364,0.275
5,BDBCB,P2-G4,F8,120,4,LM,LF,0.284,0.195
5,BDBDB,P2-H1,F9,120,1,FM,LF,0.434,0.345
5,BDBDB,P2-H2,F10,120,2,FM,LF,0.372,0.283
5,BDBDB,P2-H3,F11,120,3,FM,LF,0.376,0.287
5,BDBDB,P2-H4,F12,120,4,FM,LF,0.365,0.276
5,BDBBC,P2-F1,G1,120,1,LF,LM,0.283,0.194
5,BDBBC,P2-F2,G2,120,2,LF,LM,0.312,0.223
5,BDBBC,P2-F3,G3,120,3,LF,LM,0.296,0.207
5,BDBBC,P2-F4,G4,120,4,LF,LM,0.286,0.197
5,BDBCC,P2-G1,G5,120,1,LM,LM,0.339,0.25
5,BDBCC,P2-G2,G6,120,2,LM,LM,0.352,0.263
5,BDBCC,P2-G3,G7,120,3,LM,LM,0.325,0.236
5,BDBCC,P2-G4,G8,120,4,LM,LM,0.344,0.255
5,BDBDC,P2-H1,G9,120,1,FM,LM,0.321,0.232
5,BDBDC,P2-H2,G10,120,2,FM,LM,0.343,0.254
5,BDBDC,P2-H3,G11,120,3,FM,LM,0.302,0.213
5,BDBDC,P2-H4,G12,120,4,FM,LM,0.339,0.25
5,BDBBD,P2-F1,H1,120,1,LF,FM,0.376,0.287
5,BDBBD,P2-F2,H2,120,2,LF,FM,0.4,0.311
5,BDBBD,P2-F3,H3,120,3,LF,FM,0.385,0.296
5,BDBBD,P2-F4,H4,120,4,LF,FM,0.394,0.305
5,BDBCD,P2-G1,H5,120,1,LM,FM,0.326,0.237
5,BDBCD,P2-G2,H6,120,2,LM,FM,0.295,0.206
5,BDBCD,P2-G3,H7,120,3,LM,FM,0.326,0.237
5,BDBCD,P2-G4,H8,120,4,LM,FM,0.284,0.195
5,BDBDD,P2-H1,H9,120,1,FM,FM,0.373,0.284
5,BDBDD,P2-H2,H10,120,2,FM,FM,0.401,0.312
5,BDBDD,P2-H3,H11,120,3,FM,FM,0.343,0.254
5,BDBDD,P2-H4,H12,120,4,FM,FM,0.321,0.232
